field,ra,dec,ebv
259,104.66339,-24.25,0.2106037139892578
261,119.39571,-24.25,0.2340514361858368
262,126.68114,-24.25,0.11917620897293091
263,133.96657,-24.25,0.1852777600288391
264,141.252,-24.25,0.09798613935709
265,148.53743,-24.25,0.08077293634414673
266,155.82286,-24.25,0.0840289443731308
267,163.10829,-24.25,0.09331629425287247
268,170.39371,-24.25,0.05929923802614212
269,177.67914,-24.25,0.07401677966117859
270,184.96457,-24.25,0.10959625989198685
271,192.25,-24.25,0.11421681195497513
272,199.53543,-24.25,0.12310872972011566
273,206.82086,-24.25,0.09556388109922409
274,214.10629,-24.25,0.11206931620836258
275,221.39171,-24.25,0.14597216248512268
276,228.67714,-24.25,0.16156212985515594
284,287.22968,-24.25,0.1731226146221161
285,294.62275,-24.25,0.13175973296165466
286,302.01582,-24.25,0.13725414872169495
287,309.40889,-24.25,0.049875080585479736
288,316.80196,-24.25,0.06145789101719856
289,324.19504,-24.25,0.05936156213283539
290,331.58811,-24.25,0.03655291721224785
291,338.98118,-24.25,0.028863530606031418
292,346.37425,-24.25,0.02815966121852398
293,353.76732,-24.25,0.022494040429592133
294,1.62711,-17.05,0.035618361085653305
295,8.70904,-17.05,0.024111546576023102
296,15.79096,-17.05,0.02656552754342556
297,22.87289,-17.05,0.02559981867671013
298,29.95482,-17.05,0.026898974552750587
299,37.03675,-17.05,0.02440834790468216
300,44.11868,-17.05,0.05113741382956505
301,51.20061,-17.05,0.04594086855649948
302,58.28254,-17.05,0.047206465154886246
303,65.36446,-17.05,0.05732083320617676
304,72.44639,-17.05,0.07579008489847183
305,79.52832,-17.05,0.11387625336647034
306,86.61025,-17.05,0.09045962244272232
307,93.69218,-17.05,0.157020702958107
311,121.94304,-17.05,0.11676491796970367
312,128.97374,-17.05,0.056366708129644394
313,136.00443,-17.05,0.13345341384410858
314,143.03513,-17.05,0.07818800956010818
315,150.06583,-17.05,0.042707595974206924
316,157.09652,-17.05,0.09230045229196548
317,164.12722,-17.05,0.07815217226743698
318,171.15791,-17.05,0.048065900802612305
319,178.18861,-17.05,0.05030902847647667
320,185.2193,-17.05,0.05144868046045303
321,192.25,-17.05,0.051047470420598984
322,199.2807,-17.05,0.09932583570480347
323,206.31139,-17.05,0.14012648165225983
324,213.34209,-17.05,0.1255350261926651
325,220.37278,-17.05,0.11319800466299057
326,227.40348,-17.05,0.11670991778373718
327,234.43417,-17.05,0.13486570119857788
335,290.80782,-17.05,0.15367472171783447
336,297.88975,-17.05,0.17185425758361816
337,304.97168,-17.05,0.11636056751012802
338,312.05361,-17.05,0.07013393193483353
339,319.13554,-17.05,0.09749195724725723
340,326.21746,-17.05,0.04597345367074013
341,333.29939,-17.05,0.02963520772755146
342,340.38132,-17.05,0.05287886783480644
343,347.46325,-17.05,0.04047902673482895
344,354.54518,-17.05,0.026791734620928764
345,5.20081,-9.85,0.052223362028598785
346,12.25,-9.85,0.0407734178006649
347,19.29919,-9.85,0.053442008793354034
348,26.34837,-9.85,0.036928217858076096
349,33.39756,-9.85,0.02743547037243843
350,40.44674,-9.85,0.028068192303180695
351,47.49593,-9.85,0.10903070122003555
352,54.54511,-9.85,0.05418512225151062
353,61.5943,-9.85,0.057043883949518204
354,68.64348,-9.85,0.06467928737401962
355,75.69267,-9.85,0.13876640796661377
356,82.74185,-9.85,0.27458545565605164
361,118.0185,-9.85,0.1687314510345459
362,125.08817,-9.85,0.06256802380084991
363,132.15783,-9.85,0.05038713291287422
364,139.2275,-9.85,0.053866785019636154
365,146.29717,-9.85,0.05155622586607933
366,153.36683,-9.85,0.060346752405166626
367,160.4365,-9.85,0.04035717248916626
368,167.50617,-9.85,0.05740809813141823
369,174.57583,-9.85,0.039484355598688126
370,181.6455,-9.85,0.06109846755862236
371,188.71517,-9.85,0.032927658408880234
372,195.78483,-9.85,0.06122221797704697
373,202.8545,-9.85,0.07878828048706055
374,209.92417,-9.85,0.05380379036068916
375,216.99383,-9.85,0.08920875191688538
376,224.0635,-9.85,0.11405637115240097
377,231.13317,-9.85,0.16456665098667145
378,238.20283,-9.85,0.24736373126506805
386,294.70896,-9.85,0.24270491302013397
387,301.75815,-9.85,0.11918411403894424
388,308.80733,-9.85,0.07018593698740005
389,315.85652,-9.85,0.06834585964679718
390,322.9057,-9.85,0.04350293055176735
391,329.95489,-9.85,0.05024952441453934
392,337.00407,-9.85,0.057056818157434464
393,344.05326,-9.85,0.045888617634773254
394,351.10244,-9.85,0.03524763509631157
395,358.15163,-9.85,0.0440831258893013
396,1.70673,-2.65,0.04134083166718483
397,8.73558,-2.65,0.03927525877952576
398,15.76442,-2.65,0.05980612337589264
399,22.79327,-2.65,0.05442182347178459
400,29.82212,-2.65,0.031505685299634933
401,36.85096,-2.65,0.03446877375245094
402,43.87981,-2.65,0.06437451392412186
403,50.90865,-2.65,0.057833749800920486
404,57.9375,-2.65,0.13278618454933167
405,64.96635,-2.65,0.046432413160800934
406,71.99519,-2.65,0.0540686659514904
